train_loss,train_accuracy,test_loss,test_accuracy,grok_loss,grok_accuracy,corrupt_loss,corrupt_accuracy
1.0827065,0.06944445,1.1125757,0.037037037,1.4285966,0.0,,
1.0232576,0.0462963,1.0464674,0.02222222,1.3350121,0.0,,
1.0258849,0.0,1.001992,0.0,1.2353331,0.0,,
0.9975283,0.0,1.0091363,0.0,1.142135,0.0,,
1.0053259,0.0,1.0159198,0.0,1.169145,0.0,,
0.9998619,0.0,0.9741884,0.0,1.1778274,0.0,,
0.9820314,0.0,0.99607146,0.0,1.164506,0.0,,
0.99573195,0.0,0.992972,0.0,1.1195377,0.0,,
0.9937878,0.0,0.99549836,0.0,1.1767886,0.0,,
0.98979676,0.0,1.0003116,0.0,1.1753654,0.0,,
0.98974717,0.0,0.9974208,0.0,1.2014633,0.0,,
0.98137045,0.0,1.0142269,0.0,1.1754751,0.0,,
0.9810691,0.0,1.0065824,0.0,1.2204722,0.0,,
0.98435473,0.0,1.0077151,0.0,1.1626719,0.0,,
0.98367846,0.0,0.9863985,0.0,1.2608097,0.0,,
0.9849019,0.0,0.9929867,0.0,1.2449565,0.0,,
0.9773207,0.0,0.9666634,0.0,1.2702625,0.0,,
0.975295,0.0,0.98301065,0.0,1.2448424,0.0,,
0.9833971,0.0,0.9897237,0.0,1.2305105,0.0,,
0.9753592,0.0,1.0023823,0.0,1.3203186,0.0,,
0.97566247,0.0,1.0101694,0.0,1.237852,0.0,,
0.9771215,0.0,1.0102392,0.0,1.3000069,0.0,,
0.9746222,0.0,1.0026102,0.0,1.3429261,0.0,,
0.97427815,0.0,0.9930233,0.0,1.3351853,0.0,,
0.97640556,0.0,0.9991119,0.0,1.3456668,0.0,,
0.9742996,0.0,0.9974867,0.0,1.4251056,0.0,,
0.9690449,0.0,0.98757017,0.0,1.3379927,0.0,,
0.9649112,0.0,0.98421264,0.0,1.337283,0.0,,
0.9691533,0.0,0.9691875,0.0,1.4336762,0.0,,
0.9717177,0.0,0.9866488,0.0,1.3583349,0.0,,
0.9713216,0.0,1.0014582,0.0,1.3974882,0.0,,
0.971556,0.0,0.981354,0.0,1.4355334,0.0,,
0.9651649,0.0,0.991156,0.0,1.3527793,0.0,,
0.96129256,0.0,1.0052655,0.0,1.3547328,0.0,,
0.96327347,0.0,1.0026671,0.0,1.3408529,0.0,,
0.9619603,0.0,1.001227,0.0,1.3694803,0.0,,
0.96778834,0.0,1.0079825,0.0,1.35363,0.0,,
0.95258653,0.0,0.99898654,0.0,1.3917034,0.0,,
0.9634555,0.0,0.9918284,0.0,1.3671298,0.0,,
0.9615614,0.0,0.9805203,0.0,1.3666975,0.0,,
0.95974165,0.0,1.0037271,0.0,1.4123279,0.0,,
0.9549147,0.0,1.0067922,0.0,1.3858347,0.0,,
0.9461858,0.0,1.0049872,0.0,1.3682712,0.0,,
0.94834775,0.0,0.9935556,0.0,1.4329907,0.0,,
0.95039344,0.0,1.0014071,0.0,1.3816185,0.0,,
0.9442102,0.0,0.96858555,0.0,1.3967923,0.0,,
0.94091773,0.0,0.98635495,0.0,1.383551,0.0,,
0.9471159,0.0,0.96424973,0.0074074073,1.4227097,0.0,,
0.9359052,0.0,0.9693043,0.0,1.4137833,0.0,,
0.94536555,0.0,0.96589375,0.0,1.4135027,0.0,,
0.9237044,0.0,0.98358285,0.0,1.49558,0.0,,
0.94079936,0.0023148148,0.9890991,0.0,1.4574754,0.0,,
0.9369784,0.0,0.98878455,0.0,1.4116217,0.0,,
0.9177845,0.0,0.98339486,0.0,1.4449016,0.0,,
0.92268986,0.0023148148,0.9710759,0.0,1.3919156,0.0,,
0.9184408,0.0,0.9503735,0.0074074073,1.4569284,0.0,,
0.9026947,0.0,0.9300145,0.0,1.4138378,0.0,,
0.9054977,0.0,0.93768394,0.0,1.4481071,0.0,,
0.90660864,0.0,0.95592993,0.0,1.4786519,0.0,,
0.89320165,0.0023148148,0.921685,0.0074074073,1.5160663,0.0,,
0.90010846,0.0046296297,0.942229,0.0074074073,1.5117328,0.0,,
0.8931548,0.0,0.94924843,0.0,1.516388,0.0,,
0.88546234,0.0046296297,0.92468137,0.0074074073,1.569386,0.0,,
0.8675411,0.0046296297,0.91581565,0.0074074073,1.4759479,0.0,,
0.8610908,0.0023148148,0.9174042,0.0074074073,1.5556256,0.0,,
0.8494427,0.0023148148,0.9090582,0.0,1.4290425,0.0,,
0.84532547,0.0046296297,0.8996523,0.0074074073,1.5481737,0.0,,
0.83755815,0.0069444445,0.876219,0.0074074073,1.5193737,0.0,,
0.8416059,0.011574075,0.8673363,0.0074074073,1.4979947,0.0,,
0.8281955,0.01388889,0.8650061,0.0074074073,1.5675462,0.0,,
0.8267786,0.016203703,0.8839255,0.02222222,1.6025062,0.0,,
0.7986903,0.011574075,0.85672516,0.014814815,1.6188506,0.0,,
0.8062268,0.020833334,0.85352623,0.02962963,1.6119212,0.0,,
0.7746115,0.030092593,0.8399941,0.014814815,1.6308347,0.0,,
0.77172416,0.037037037,0.85750276,0.02222222,1.7074926,0.0,,
0.7697694,0.074074075,0.83600086,0.074074075,1.7913529,0.0,,
0.76217294,0.06712963,0.8306763,0.05925926,1.727061,0.0,,
0.75693804,0.08796296,0.82278544,0.05925926,1.8210703,0.0,,
0.7590327,0.113425925,0.82071185,0.1037037,1.7643758,0.0,,
0.7416378,0.11342593,0.8133987,0.096296296,1.7119827,0.0,,
0.7324687,0.13425925,0.81047624,0.11851852,1.79427,0.0,,
0.7308104,0.1412037,0.7851657,0.11851852,1.8557012,0.0,,
0.71782386,0.15046296,0.79037386,0.14074074,1.8770236,0.0,,
0.6928028,0.14814815,0.78616726,0.14074074,1.804466,0.0,,
0.6989519,0.14351852,0.7643961,0.15555555,1.7791264,0.0,,
0.693138,0.1712963,0.7440577,0.14814815,1.812533,0.0,,
0.683547,0.1898148,0.74415076,0.16296296,1.8282813,0.0,,
0.6698507,0.19444445,0.7453956,0.19259259,2.0048842,0.0,,
0.6471762,0.1898148,0.7213712,0.19259259,1.9190373,0.0,,
0.6364919,0.20370372,0.72488075,0.2074074,2.0629578,0.0,,
0.62709993,0.22916667,0.72126716,0.19259259,1.9652097,0.0,,
0.6124406,0.2523148,0.7127054,0.22962962,2.0566368,0.0,,
0.5930809,0.25925925,0.6995701,0.21481481,2.0500085,0.0,,
0.59215033,0.25694445,0.6934765,0.26666665,1.9682862,0.0,,
0.58839977,0.28935185,0.6840184,0.26666665,2.0412364,0.0,,
0.56561005,0.2939815,0.66878146,0.3111111,2.0794978,0.0,,
0.5398487,0.3009259,0.6551221,0.25925925,2.069123,0.0,,
0.54222274,0.32407406,0.66591376,0.27407408,2.0758517,0.0,,
0.54382855,0.2962963,0.6182666,0.31851852,1.9190409,0.0,,
0.53235954,0.3148148,0.60305244,0.31851852,2.0611532,0.0,,
0.5173964,0.37500003,0.6067887,0.3333333,2.0012007,0.0,,
0.49642253,0.39583334,0.5965782,0.36296296,1.9158853,0.0,,
0.48207247,0.38425925,0.59437066,0.35555553,1.9293972,0.0,,
0.47727653,0.41203701,0.5754196,0.37037036,1.8943486,0.0,,
0.46761796,0.4212963,0.57329315,0.4,1.8995799,0.0,,
0.45022273,0.44212964,0.57155675,0.4074074,1.8292398,0.0,,
0.4470037,0.4560185,0.5480655,0.4148148,1.9911599,0.0,,
0.4390887,0.48842594,0.5355614,0.4074074,2.1121788,0.0,,
0.43400523,0.49074075,0.5234164,0.44444445,1.8863192,0.0,,
0.42837426,0.5092593,0.5137685,0.42222223,2.004403,0.0,,
0.41368616,0.47916666,0.49074998,0.43703702,1.8522855,0.0,,
0.4066827,0.47453704,0.48677784,0.44444445,1.7797838,0.0,,
0.4026844,0.4722222,0.4699786,0.45925924,1.8162577,0.0,,
0.3925267,0.5115741,0.47109818,0.45925924,1.8162229,0.0,,
0.393277,0.5555555,0.47257835,0.4962963,1.8547024,0.0,,
0.35041234,0.5902778,0.43956837,0.52592593,1.7204057,0.0,,
0.3388422,0.5902778,0.42303517,0.54814816,1.779255,0.0,,
0.34239385,0.5787037,0.4180596,0.4962963,1.6589695,0.0,,
0.32943633,0.5648148,0.41257158,0.5185185,1.6848388,0.0,,
0.32475084,0.5717593,0.3968171,0.5333333,1.5654218,0.0,,
0.31911927,0.6064815,0.39264387,0.5333333,1.5175397,0.0,,
0.30983305,0.625,0.3957973,0.6222222,1.5844735,0.0,,
0.29492715,0.6527778,0.3724246,0.5703704,1.5823485,0.0,,
0.2977538,0.6157408,0.3555617,0.58518517,1.5136565,0.0,,
0.29171124,0.6157408,0.33505875,0.5555555,1.4203596,0.0,,
0.28277296,0.6527778,0.34029981,0.6074074,1.5277348,0.0,,
0.2688178,0.70138896,0.34234717,0.6222222,1.4368773,0.0,,
0.27219594,0.724537,0.34109446,0.63703704,1.4557632,0.0,,
0.26670942,0.7037037,0.32192063,0.6666666,1.4404935,0.0,,
0.2638879,0.6875,0.3106707,0.6148148,1.3585116,0.0,,
0.24034174,0.73379624,0.2999205,0.65925926,1.4560542,0.0,,
0.23864573,0.7361111,0.299049,0.68888885,1.3540407,0.0,,
0.2392557,0.7476852,0.28718677,0.6962963,1.3305453,0.0,,
0.23306012,0.7268518,0.2841917,0.6962963,1.2840898,0.0,,
0.21804461,0.7592593,0.26250425,0.6666666,1.2376207,0.0,,
0.21884112,0.7615741,0.2502481,0.7185185,1.1727377,0.0,,
0.22118841,0.7523148,0.24394935,0.7259259,1.2479407,0.0,,
0.20095095,0.8009259,0.23777758,0.75555557,1.1463598,0.0,,
0.20354573,0.7847222,0.24528734,0.7407407,1.0682905,0.0,,
0.19338116,0.7962963,0.23230213,0.71111107,1.0059224,0.0,,
0.19483745,0.81249994,0.22422232,0.7259259,0.93993014,0.0,,
0.18674602,0.8194444,0.2166352,0.74814814,0.99247956,0.0,,
0.18250047,0.8194444,0.21021686,0.76296294,1.0691694,0.0,,
0.17629582,0.8240741,0.21484064,0.7777778,1.0583726,0.0,,
0.17493474,0.837963,0.20168453,0.77037036,0.97717154,0.0,,
0.1661496,0.8333333,0.19568539,0.7777778,1.0193651,0.1,,
0.15762778,0.8587963,0.18325144,0.8,0.9797414,0.1,,
0.16048938,0.8680556,0.17724371,0.8148148,0.99135023,0.0,,
0.15719894,0.8564815,0.18037574,0.7925926,0.83471066,0.0,,
0.1517357,0.8703704,0.16634116,0.8296296,0.8568037,0.0,,
0.14678563,0.8634259,0.16899318,0.8074074,0.8534445,0.1,,
0.14385714,0.8912037,0.16034983,0.8296296,0.69832134,0.3,,
0.13980745,0.8703703,0.15392628,0.8518518,0.7843433,0.2,,
0.13393667,0.9050926,0.15303011,0.837037,0.79958713,0.2,,
0.1351609,0.8981481,0.15229459,0.8666667,0.8060648,0.1,,
0.11991511,0.912037,0.14209145,0.88148147,0.6935729,0.3,,
0.12926114,0.90509266,0.13772589,0.88148147,0.7065844,0.4,,
0.12647071,0.9282407,0.13813779,0.88148147,0.7575554,0.4,,
0.119019546,0.9351852,0.13547358,0.87407404,0.7180515,0.5,,
0.120022625,0.9305556,0.12960404,0.89629626,0.6644542,0.5,,
0.11520685,0.9444445,0.13086857,0.89629626,0.6116612,0.4,,
0.11638585,0.9328703,0.12031291,0.88148147,0.6715519,0.4,,
0.11306754,0.9328704,0.113902494,0.9185185,0.59640545,0.5,,
0.10212778,0.9490741,0.113069996,0.9185185,0.634949,0.5,,
0.10637356,0.9421296,0.111052155,0.9111111,0.6339975,0.5,,
0.09976339,0.9490741,0.11054848,0.9037037,0.61375403,0.4,,
0.09607572,0.9490741,0.104190074,0.93333334,0.61688477,0.4,,
0.100642405,0.9328704,0.101126075,0.9259259,0.5630554,0.4,,
0.09143238,0.9652778,0.10603769,0.93333334,0.5556875,0.5,,
0.091170885,0.9722222,0.10017196,0.93333334,0.57034874,0.5,,
0.09516262,0.9560185,0.09485506,0.9407407,0.55216694,0.5,,
0.08705248,0.9537037,0.100128084,0.9407407,0.500795,0.5,,
0.092775315,0.9560185,0.09548097,0.95555556,0.6251482,0.5,,
0.08260927,0.9675926,0.09284346,0.9259259,0.5504522,0.5,,
0.0822097,0.9583334,0.09368118,0.93333334,0.48768878,0.5,,
0.086140424,0.9606481,0.09082496,0.95555556,0.505714,0.5,,
0.07623175,0.9722222,0.09179289,0.9407407,0.5032213,0.5,,
0.08205187,0.96990746,0.08242919,0.9629629,0.53948355,0.5,,
0.08151455,0.96527773,0.08617349,0.95555556,0.4408472,0.5,,
0.07869229,0.9699074,0.07981924,0.9407407,0.48532927,0.5,,
0.074449115,0.9675926,0.08383431,0.93333334,0.5004719,0.5,,
0.07665872,0.9652778,0.08319735,0.9407407,0.5439714,0.5,,
0.07588079,0.9745371,0.07881298,0.95555556,0.44277433,0.5,,
0.07368418,0.9699074,0.07808292,0.95555556,0.49253428,0.5,,
0.070145845,0.97222227,0.07543597,0.95555556,0.4683793,0.5,,
0.069578096,0.9814815,0.07629268,0.95555556,0.49769896,0.5,,
0.06895977,0.9768519,0.07537083,0.97037035,0.4165501,0.5,,
0.06541918,0.9837963,0.070928164,0.97037035,0.40599152,0.5,,
0.068470806,0.9722222,0.07015355,0.97037035,0.4179027,0.5,,
0.06779567,0.9791667,0.07062869,0.97037035,0.45389932,0.5,,
0.06094985,0.98611116,0.07239057,0.9629629,0.44576266,0.5,,
0.060739696,0.9861111,0.067394905,0.9629629,0.4435235,0.5,,
0.06566054,0.9768519,0.066844374,0.97037035,0.36572695,0.5,,
0.06617413,0.9791667,0.064729765,0.97037035,0.40116116,0.5,,
0.05765904,0.98842597,0.06515559,0.9629629,0.36220354,0.5,,
0.058794044,0.9837963,0.06139274,0.9777778,0.37030458,0.5,,
0.05740142,0.98611116,0.06263036,0.97037035,0.39713997,0.5,,
0.05624633,0.9884259,0.053348977,0.9777778,0.35371318,0.5,,
0.055909365,0.9861111,0.060878348,0.9777778,0.34380347,0.6,,
0.05537954,0.9907407,0.059814386,0.9777778,0.30450547,0.6,,
0.054703005,0.9907408,0.05609959,0.98518515,0.37751222,0.5,,
0.055303752,0.98842597,0.05708975,0.97037035,0.36815417,0.5,,
0.05694677,0.9884259,0.0546007,0.9777778,0.3678359,0.5,,
0.050352644,0.9907407,0.05312473,0.9925926,0.38842228,0.6,,
0.05249223,0.9953704,0.055010945,0.9925926,0.35115305,0.5,,
0.048807498,0.9953704,0.05440712,1.0,0.3411076,0.5,,
0.050612252,0.9930556,0.053992104,0.98518515,0.3336839,0.5,,
0.051150996,0.9930556,0.05175933,0.98518515,0.3422039,0.5,,
0.04572361,0.9930556,0.04772846,0.9777778,0.33721128,0.5,,
0.049123403,0.9930556,0.05086862,0.9925926,0.3863,0.5,,
